	network	network_description	compute	protocol	k	protocol_description	block_interval	activation_delay	number_activations	activations	incentive_scheme	incentive_scheme_description	strategy	strategy_description	reward	machine_duration_s	error	compute_weakest	compute_strongest	compute_gini	activations_weakest	activations_strongest	activations_gini	reward_weakest	reward_strongest	reward_gini	efficiency_weakest	efficiency_strongest	efficiency_gini	activations_compute_gini_delta	reward_activations_gini_delta
30	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	120.0	120.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	punish	max k per confirmed block, 1 per pow solution on longest chain of votes			17903.|36242.|54267.|72020.|90172.|108268.|126251.|144461.|162498.|180632.	18.171639461		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01803439862840657	0.18195774412368518	0.3001984458766574	0.99891429203537	1.0011595466427792	0.0005695247031198432	-0.00022700000000014375	0.0004254458766574376
31	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	120.0	120.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	hybrid	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)			17903.|36242.|54267.|72020.|90172.|108268.|126251.|144461.|162498.|180632.	19.006650785		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01803439862840657	0.18195774412368518	0.3001984458766574	0.99891429203537	1.0011595466427792	0.0005695247031198432	-0.00022700000000014375	0.0004254458766574376
32	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	120.0	120.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	block	1 per confirmed block			17903.|36242.|54267.|72020.|90172.|108268.|126251.|144461.|162498.|180632.	19.749569456		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01803439862840657	0.18195774412368518	0.3001984458766574	0.99891429203537	1.0011595466427792	0.0005695247031198432	-0.00022700000000014375	0.0004254458766574376
33	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	bk+ll	2	Bₖ with less leader modification with k=2	120.0	60.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	constant	1 per confirmed pow solution			17745.|35963.|53797.|71428.|89529.|107459.|125329.|143503.|161402.|179451.	19.302510102		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01800415176043977	0.1820717406346958	0.30048416913046394	0.9972389365481206	1.0017867730124614	0.0009445350095362346	-0.00022700000000014375	0.0007111691304639844
34	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	bk+ll	2	Bₖ with less leader modification with k=2	120.0	60.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	block	1 per confirmed block			8897.|18138.|26953.|35679.|44735.|53896.|62666.|71719.|80321.|89799.	20.76372251		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.018053867366878855	0.18222088745401308	0.29978530974852025	0.9999926535326716	1.0026074017948747	0.0014890509168892663	-0.00022700000000014375	1.2309748520289432e-05
35	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	60.0	60.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	constant	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)			17748.|35965.|53795.|71431.|89529.|107449.|125329.|143502.|161398.|179460.	19.714023437		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.018007195573078897	0.1820808720726132	0.3004839662096213	0.9974075314655421	1.0018370155909766	0.0009301773908121485	-0.00022700000000014375	0.0007109662096213554
36	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	60.0	60.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	discount	1 per confirmed pow solution			17748.|35965.|53795.|71431.|89529.|107449.|125329.|143502.|161398.|179460.	20.589136931		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.018007195573078897	0.1820808720726132	0.3004839662096213	0.9974075314655421	1.0018370155909766	0.0009301773908121485	-0.00022700000000014375	0.0007109662096213554
37	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	60.0	60.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	punish	max k per confirmed block, 1 per pow solution on longest chain of votes			17748.|35965.|53795.|71431.|89529.|107449.|125329.|143502.|161398.|179460.	21.396914084		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.018007195573078897	0.1820808720726132	0.3004839662096213	0.9974075314655421	1.0018370155909766	0.0009301773908121485	-0.00022700000000014375	0.0007109662096213554
38	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	60.0	60.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	hybrid	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)			17748.|35965.|53795.|71431.|89529.|107449.|125329.|143502.|161398.|179460.	22.225779884		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.018007195573078897	0.1820808720726132	0.3004839662096213	0.9974075314655421	1.0018370155909766	0.0009301773908121485	-0.00022700000000014375	0.0007109662096213554
39	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	60.0	60.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	block	1 per confirmed block			17748.|35965.|53795.|71431.|89529.|107449.|125329.|143502.|161398.|179460.	22.841068692		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.018007195573078897	0.1820808720726132	0.3004839662096213	0.9974075314655421	1.0018370155909766	0.0009301773908121485	-0.00022700000000014375	0.0007109662096213554
