	network	network_description	compute	protocol	k	protocol_description	block_interval	activation_delay	number_activations	activations	incentive_scheme	incentive_scheme_description	strategy	strategy_description	reward	ca_time	ca_height	machine_duration_s	error	version	attacker_compute	attacker_relative_activations	attacker_relative_reward	attacker_efficiency
34	gamma-0.75-alpha-0.1	1 attacker, alpha=0.1, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	0.1|0.225|0.225|0.225|0.225	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	991|2233|2241|2193|2342	constant	1 per confirmed block	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	833.|2065.|2092.|2029.|2157.	9841.65649826	9176	0.162239045		local-v0.4-47-g351acb8	0.1	0.0991	0.09078029642545772	0.916047390771521
35	gamma-0.75-alpha-0.1	1 attacker, alpha=0.1, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	0.1|0.225|0.225|0.225|0.225	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1000|2249|2217|2224|2310	constant	1 per confirmed block	ssz-simple	SSZ'16 attack space; simple withholding policy	841.|2077.|2063.|2066.|2128.	9878.40622604	9175	0.179245996		local-v0.4-47-g351acb8	0.1	0.1	0.09166212534059945	0.9166212534059944
36	gamma-0.75-alpha-0.1	1 attacker, alpha=0.1, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	0.1|0.225|0.225|0.225|0.225	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	980|2251|2190|2355|2224	constant	1 per confirmed block	ssz-honest	SSZ'16 attack space; emulate honest behaviour	980.|2249.|2189.|2355.|2224.	10009.5859852	9997	0.14295525		local-v0.4-47-g351acb8	0.1	0.098	0.0980294088226468	1.000300090027008
37	gamma-0-alpha-0.2	1 attacker, alpha=0.2, 1 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	0.2|0.8	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1983|8017	constant	1 per confirmed block	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	1122.|7407.	9950.72659096	8529	0.077495341		local-v0.4-47-g351acb8	0.2	0.1983	0.1315511783327471	0.663394747013349
38	gamma-0-alpha-0.2	1 attacker, alpha=0.2, 1 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	0.2|0.8	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1994|8006	constant	1 per confirmed block	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	1088.|7427.	10005.5565811	8515	0.067271348		local-v0.4-47-g351acb8	0.2	0.1994	0.1277745155607751	0.6407949626919514
39	two-agents-0.45	2 nodes, alpha=0.45, no propagation delays	0.45|0.55	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	4512|5488	constant	1 per confirmed block	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	4160.|2157.	9978.81138701	6317	0.41312437		local-v0.4-47-g351acb8	0.45	0.4512	0.6585404464144372	1.459531131237671
40	gamma-0.5-alpha-0.2	1 attacker, alpha=0.2, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	0.2|0.4|0.4	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1916|4103|3981	constant	1 per confirmed block	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	1436.|3642.|3486.	10156.0875861	8564	0.073751664		local-v0.4-47-g351acb8	0.2	0.1916	0.16767865483418964	0.8751495555020337
41	gamma-0.5-alpha-0.2	1 attacker, alpha=0.2, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	0.2|0.4|0.4	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1992|3999|4009	constant	1 per confirmed block	ssz-simple	SSZ'16 attack space; simple withholding policy	1484.|3510.|3551.	10083.5025525	8545	0.071816853		local-v0.4-47-g351acb8	0.2	0.1992	0.17366881217086017	0.8718313863999004
42	gamma-0.9-alpha-0.1	1 attacker, alpha=0.1, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	0.1|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	993|793|803|839|798|805|866|845|829|789|827|813	constant	1 per confirmed block	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	916.|729.|742.|765.|731.|740.|795.|764.|768.|719.|755.|737.	9929.17394029	9161	0.208839847		local-v0.4-47-g351acb8	0.09999999999998002	0.0993	0.09998908416111778	1.0069394175339152
43	gamma-0-alpha-0.2	1 attacker, alpha=0.2, 1 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	0.2|0.8	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	2011|7989	constant	1 per confirmed block	ssz-simple	SSZ'16 attack space; simple withholding policy	1079.|7449.	10047.6253844	8528	0.11975425		local-v0.4-47-g351acb8	0.2	0.2011	0.12652439024390244	0.6291615626250743
44	gamma-0.9-alpha-0.1	1 attacker, alpha=0.1, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	0.1|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	986|859|792|872|779|807|843|804|853|823|761|821	constant	1 per confirmed block	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	907.|782.|728.|797.|724.|732.|775.|733.|782.|756.|700.|750.	9962.0875478	9166	0.235026505		local-v0.4-47-g351acb8	0.09999999999998002	0.0986	0.09895265110189833	1.003576583183553
45	gamma-0.5-alpha-0.2	1 attacker, alpha=0.2, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	0.2|0.4|0.4	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1939|4046|4015	constant	1 per confirmed block	ssz-honest	SSZ'16 attack space; emulate honest behaviour	1939.|4046.|4015.	9805.66827441	10000	0.084690173		local-v0.4-47-g351acb8	0.2	0.1939	0.1939	1.0
46	gamma-0.5-alpha-0.2	1 attacker, alpha=0.2, 2 symmetric defenders, constant propagation delays modeling gamma=0.5. with defender message delay 0.0001)	0.2|0.4|0.4	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1948|3936|4116	constant	1 per confirmed block	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	1453.|3457.|3628.	10008.212264	8538	0.129741218		local-v0.4-47-g351acb8	0.2	0.1948	0.17018037011009604	0.8736158629881727
47	gamma-0-alpha-0.2	1 attacker, alpha=0.2, 1 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	0.2|0.8	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	2047|7953	constant	1 per confirmed block	ssz-honest	SSZ'16 attack space; emulate honest behaviour	2047.|7953.	10150.9552288	10000	0.151713144		local-v0.4-47-g351acb8	0.2	0.2047	0.2047	1.0
48	gamma-0.75-alpha-0.2	1 attacker, alpha=0.2, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	0.2|0.2|0.2|0.2|0.2	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1959|2014|1998|2067|1962	constant	1 per confirmed block	ssz-eyal-sirer-2014	SSZ'16 attack space; Eyal and Sirer 2014	1693.|1689.|1711.|1788.|1638.	9877.45805688	8519	0.081073947		local-v0.4-47-g351acb8	0.2	0.1959	0.19873224556872873	1.014457608824547
49	gamma-0.9-alpha-0.1	1 attacker, alpha=0.1, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	0.1|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	988|833|788|871|808|802|835|804|855|827|779|810	constant	1 per confirmed block	ssz-honest	SSZ'16 attack space; emulate honest behaviour	988.|833.|788.|871.|808.|802.|835.|804.|855.|827.|779.|810.	10024.579754	10000	0.259571143		local-v0.4-47-g351acb8	0.09999999999998002	0.0988	0.0988	1.0
50	gamma-0.75-alpha-0.2	1 attacker, alpha=0.2, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	0.2|0.2|0.2|0.2|0.2	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	2028|2052|1969|2034|1917	constant	1 per confirmed block	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	1765.|1735.|1683.|1698.|1615.	10053.4238028	8496	0.110463303		local-v0.4-47-g351acb8	0.2	0.2028	0.2077448210922787	1.0243827470033466
51	gamma-0.75-alpha-0.2	1 attacker, alpha=0.2, 4 symmetric defenders, constant propagation delays modeling gamma=0.75. with defender message delay 0.0001)	0.2|0.2|0.2|0.2|0.2	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	1930|2024|2045|2060|1941	constant	1 per confirmed block	ssz-simple	SSZ'16 attack space; simple withholding policy	1667.|1727.|1738.|1779.|1673.	9843.34078808	8584	0.123291288		local-v0.4-47-g351acb8	0.2	0.193	0.19419850885368126	1.0062098904335817
52	gamma-0.9-alpha-0.1	1 attacker, alpha=0.1, 11 symmetric defenders, constant propagation delays modeling gamma=0.9. with defender message delay 0.0001)	0.1|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182|0.0818181818182	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	967|859|820|867|756|826|843|789|827|819|808|819	constant	1 per confirmed block	ssz-simple	SSZ'16 attack space; simple withholding policy	892.|788.|755.|796.|708.|761.|776.|715.|764.|756.|727.|746.	9972.43436875	9184	0.318327754		local-v0.4-47-g351acb8	0.09999999999998002	0.0967	0.09712543554006968	1.0043995402282284
53	gamma-0-alpha-0.25	1 attacker, alpha=0.25, 1 symmetric defenders, constant propagation delays modeling gamma=0. with defender message delay 0.0001)	0.25|0.75	nakamoto	1	Nakamoto consensus	1.0	1.0	10000	2533|7467	constant	1 per confirmed block	ssz-sapirshtein-2016-sm1	SSZ'16 attack space; Sapirshtein et al. 2016, SM1	1667.|6538.	9766.54397155	8205	0.062261558		local-v0.4-47-g351acb8	0.25	0.2533	0.2031687995124924	0.8020876411863102
